Producto	Modelo	Color	Cantidad	Precio Unitario	Total	Caja	Salidas	Existencia			@
Tumbler 30 oz	Premium	Midnight	2	$270.00	$540.00	Caja	2	0			
Tumbler 30 oz Selección	FIFA	Negro Selección	17	$375.00	$6,375.00	Caja	15	2			
Tumbler 30 oz Selección	FIFA	Verde Ola	2	$375.00	$750.00		0	2			
Tumbler 30 oz Selección	FIFA	Verde Oficial	4	$375.00	$1,500.00	Caja	2	2			
Pet Bowl 32 oz	Clasico	Arena	2	$320.00	$640.00	E6	0	2			
Pet Bowl 32 oz	Clasico	Blanco	2	$320.00	$640.00	E6	0	2			
Pet Bowl 32 oz	Clasico	Negro	40	$320.00	$12,800.00	E6	39	1			
Pet Bowl 32 oz	Clasico	Rosa	37	$320.00	$11,840.00	E6	35	3			
Pet Bowl 64 oz	Clasico	Arena	2	$350.00	$700.00	E6	2	0	se usa para dar agua a los perros		
Pet Bowl 64 oz	Clasico	Blanco	2	$350.00	$700.00	E6	1	1			
Pet Bowl 64 oz	Clasico	Negro	37	$350.00	$12,950.00	E6	37	0			
Pet Bowl 64 oz	Clasico	Rosa	37	$350.00	$12,950.00	E6	35	2			
Coffee Mug 12 oz	Clasico	Negro	21	$245.00	$5,145.00	E1	17	4			
Coffee Mug 12 oz	Clasico	Blanco	12	$245.00	$2,940.00	E1	7	5			
Coffee Mug 12 oz	Clasico	Rojo	5	$245.00	$1,225.00	E1	2	3			
Coffee Mug 12 oz	Clasico	Navy	45	$245.00	$11,025.00	E1	39	6	1 FARMACIAS		
Coffee Mug 12 oz	Clasico	Rey	8	$245.00	$1,960.00	E1	4	4			
Coffee Mug 12 oz	Clasico	Menta	7	$245.00	$1,715.00	E1	6	1			
Coffee Mug 12 oz	Clasico	Sky	4	$245.00	$980.00	E1	3	1	1 FARMACIAS		
Coffee Mug 12 oz	Clasico	Fusia	4	$245.00	$980.00	E1	4	0	1 FARMACIAS		
Coffee Mug 12 oz	Clasico	Rosa	2	$245.00	$490.00	E1	2	0			
Coffee Mug 12 oz	Premium	Marmol Blanco	1	$255.00	$255.00	E1	1	0			
Coffee Mug 12 oz	Premium	Madera	2	$255.00	$510.00	E1	1	1			
Voyager 30oz	Clasico	Navy	1	$485.00	$485.00		1	0			
Voyager 30oz	Clasico	Negro	1	$485.00	$485.00		1	0			
Voyager 36oz	Clasico	Navy	1	$500.00	$500.00		1	0			
Wellness	Clasico	Negro	1	$235.00	$235.00		1	0			
Wellness	Premium	Marmol Blanco	1	$250.00	$250.00		1	0			
Wellness	Premium	Blush	1	$250.00	$250.00		1	0			
Set Sommelier	Premium	Negro	1	$850.00	$850.00		1	0			
Set Sommelier	Premium	Madera	1	$900.00	$900.00		1	0			
Popote 2 PZS	Accesorio	Negro	4	$40.00	$160.00		2	2			
Tapa Tumbler 20oz	Accesorio	Transparente	21	$45.00	$945.00		18	3			
Tapa Tumbler 30oz	Accesorio	Transparente	7	$45.00	$315.00		6	1			
Tapa Active 22oz	Accesorio	Negro	2	$45.00	$90.00		0	2			
Tapa Skinny 22oz	Accesorio	Transparente	4	$45.00	$180.00		1	3			
Tapa Kids 14oz	Accesorio	Negro	1	$40.00	$40.00		1	0			
Agarraderas 20oz	Accesorio	Negro	8	$45.00	$360.00		6	2			
Pet Lid	Accesorio	Negro	4	$45.00	$180.00		4	0			
Soft Cooler 17QT	Accesorio	Blanco	1	$1,070.00	$1,070.00		1	0			
Soft Cooler 17QT	Accesorio	Azul	11	$1,070.00	$11,770.00		11	0			
Soft Cooler 28 QT	Accesorio	Blanco	2	$1,070.00	$2,140.00	CAJA	2	0			
Soft Cooler 28 QT	Accesorio	Navy Blue	3	$1,070.00	$3,210.00	CAJA	3	0			
											
		TOTAL	2970	$67,610.00	$759,815.00		2559	412			
